VocabularyEN,VovabularyCH,Category
blunder,v.犯大错；笨拙地做；n.愚蠢之举,GRE
blunt,a.钝的；直率的；v.变钝,GRE
blur,n.模糊不清的事物；v.使…模糊,GRE
blurb,n.简介；印在书籍封套上的推荐广告,GRE
blurt,v.脱口而出,GRE
blush,v.因某事物脸红；n.因羞愧等脸上泛出的红晕,GRE
bluster,v.(指风)猛刮,GRE
blustering,a.大吵大闹的,GRE
boast,v./n.自夸,GRE
bodyguard,n.保镖，侍卫,GRE
bog,n.沼泽；v.使…陷入泥沼,GRE
boggle,v.畏缩不前；使退缩,GRE
bogus,a.假装的，假的,GRE
boisterous,a.喧闹的；猛烈的,GRE
bolster,n.枕垫；v.支持，鼓励,GRE
bolt,v.急逃(to dash out; dart)；螺栓，门栓,GRE
bombast,n.高调，夸大之辞,GRE
bombastic,a.夸夸其谈的,GRE
bondage,n.奴役，束缚,GRE
bonnet,n.圆帽，扁平软帽,GRE
boom,n.繁荣昌盛时期；v.发出深沉有回响的声音,GRE
boon,n.恩惠，天赐福利,GRE
boor,n.举止粗野的人；乡下人,GRE
boost,v.往上推；增加，提高,GRE
bootless,a.无益处的；无用的,GRE
bore,v.钻孔；使厌烦；n.孔；令人厌烦的人,GRE
boredom,n.厌烦；令人厌烦的事物,GRE
boring,a.无趣的，乏味的,GRE
botany,n.植物学,GRE
boulder,n.巨砾,GRE
bouquet,n.花束；芳香,GRE
bourgeois,a.中产阶级的；自私拜物的,GRE
bout,n.一回合，一阵,GRE
boycott,v.抵制(贸易),GRE
brace,v.使稳固，架稳；n.支撑物,GRE
bracelet,n.手镯，臂镯,GRE
bracing,a.令人振奋的,GRE
bracket,n.托架，支架,GRE
brag,v.吹嘘,GRE
braggadocio,n.吹牛大王；大吹大擂,GRE
braggart,n.吹牛者,GRE
braid,n.穗子；发辫；v.编成辫子,GRE
brake,n.刹车；v.减速，阻止,GRE
brand,n.商标；烙印；v.在某事物上打烙印,GRE
brandish,v.(威胁性地)挥舞,GRE
brash,a.性急的；无礼的,GRE
brassy,a.厚脸皮的，无礼的,GRE
brat,n.孩子；顽童,GRE
bravado,n.故作勇敢，虚张声势,GRE
bravura,>n.华美乐段；a.华美的；显示技巧的,GRE
brawl,v./n.争吵，打架,GRE
brazen,a.厚脸皮的,GRE
breach,n.裂缝，缺口；v.打破，裂开；违背,GRE
breadth,n.宽度,GRE
breed,v.繁殖；教养；n.品种，种类,GRE
bribe,v.贿赂,GRE
bricklayer,n.砌砖盖房者，泥瓦匠,GRE
bridle,n.马笼头；v.抑制，控制,GRE
brink,n.(峭壁的)边沿，边缘,GRE
brisk,a.敏捷的，活泼的；清新健康的,GRE
